country_code,name,type,gender,population
PL,Berzyś,lastname,,
CZ,Vujčíková,lastname,F,7
CZ,Tobolič,lastname,M,12
PL,Chabreska,lastname,,
CZ,Turońová,lastname,F,18
CZ,Vykypělová,lastname,F,77
PL,Ortwig,lastname,,
PL,Baniek,lastname,,3
CZ,Miňuk,lastname,M,4
PL,Karwaniecka,lastname,F,14
HU,Pfann,lastname,U,6
HU,Márkó Tivadar,firstname,M,1
SK,Dvorský,firstname,,
PL,Łagodna,lastname,,5
PL,Ganbiec,lastname,,
HU,Helga Gina,firstname,F,1
PL,Habasińska,lastname,F,128
PL,Mysznik,lastname,,6
PL,Niedrzydowska,lastname,F,1
CZ,Fátor,lastname,M,63
PL,Januszuk-Boklejko,lastname,,3
PL,Topielec,lastname,,13
PL,Hoehnel,lastname,,6
CZ,Kučerová Vydrová,lastname,F,1
PL,Bakola,lastname,,1
PL,Drosdalska,lastname,F,4
CZ,Plíhalová,lastname,F,492
CZ,Wohlhöfnerová,lastname,F,10
CZ,Brkal,lastname,M,20
PL,Pauczyszak,lastname,,
CZ,Naňová,lastname,F,1
PL,Pokszywa,lastname,,1
HU,Menta Éva,firstname,F,1
CZ,Princhak,lastname,M,1
CZ,Miriam Cecilia,firstname,,1
PL,Waszajło,lastname,,33
SK,Janella,firstname,F,
CZ,Kobzová,lastname,F,476
SK,Turánsky,firstname,,
PL,Glębicka,lastname,,
PL,Raźniczak,lastname,,1
SK,Porkertová,lastname,,19
SK,Pakos,firstname,,
HU,Áron Mátyás,firstname,M,10
PL,Obrzycki,lastname,M,5
PL,Smoleniowska,lastname,F,3
PL,Bech,lastname,,248
PL,Fuch,lastname,,
PL,Matuć,lastname,,38
PL,Sałamunia,lastname,,12
PL,Moryło,lastname,,3
PL,Ksztoń,lastname,,21
CZ,Hlavinová,lastname,F,49
PL,Foltyń,lastname,,10
PL,Olejnicak,lastname,,1
HU,Õze-Márkus,lastname,U,6
PL,Pinczykowski,lastname,M,4
PL,Żeglecka,lastname,F,5
CZ,Sultan,firstname,,3
CZ,Lukas Christian,firstname,,1
HU,Csaba Márió,firstname,M,4
PL,Hrehorowski,lastname,M,19
CZ,Krézková,lastname,F,32
PL,Talejko,lastname,,7
PL,Wendzelewska,lastname,F,1
HU,Flóra Dorina,firstname,F,6
CZ,Vránková Kurth,lastname,M,1
HU,Jakubják,lastname,U,3
CZ,Duchalíková,lastname,F,6
PL,Dubietko,lastname,,16
CZ,Podstata,lastname,M,40
CZ,Murasová,lastname,F,95
CZ,Holderík,lastname,M,1
HU,Urbanik,lastname,U,27
PL,Flejsierowicz,lastname,,39
HU,Vértesi,lastname,U,273
SK,Butkovsky,firstname,,
PL,Harmatij,lastname,,1
PL,Gnezińska,lastname,,
CZ,Paul Ulrich,firstname,,1
CZ,Blašová,lastname,F,3
CZ,Łuczak,lastname,M,4
CZ,Kakrda,lastname,M,64
HU,Viktor Mózes,firstname,M,1
SK,Ďurek,firstname,,
PL,Łobiński,lastname,M,106
PL,Barza,lastname,F,
PL,Szymoniak,lastname,,2229
PL,Cierlińska,lastname,F,126
PL,Ilmary,lastname,,
PL,Powaserowska,lastname,F,13
HU,Grádinger,lastname,U,6
PL,Smerdzyński,lastname,M,89
CZ,Prokurátová,lastname,F,8
CZ,Fišnarová,lastname,F,86
PL,Kordyjalik,lastname,,6
PL,Boroziłowska,lastname,,
CZ,Oliver Mikuláš,firstname,,1
SK,Lazor-Surgent,lastname,,8
PL,Parnet,lastname,,1
PL,Zachaniasz,lastname,,
CZ,Sigristová,lastname,F,1
CZ,Iwazawa,lastname,M,3
PL,Szycitowski,lastname,M,1
CZ,Hurd,lastname,M,1
SK,Belko,firstname,,
SK,Zjan,lastname,,13
CZ,Czabeová,lastname,F,18
PL,Wietowska,lastname,F,12
CZ,Oršuliková,lastname,F,3
PL,Goch,lastname,,1172
SK,Ščevková,lastname,,45
HU,Miszár,lastname,U,3
CZ,Jeništová Dittrichová,lastname,F,1
HU,Csébi,lastname,U,234
PL,Brix,lastname,,21
PL,Biesicka,lastname,F,26
PL,Kiliań,lastname,,1
CZ,Sykáček,lastname,M,74
CZ,Ledecký,lastname,M,142
HU,Ozvaldik,lastname,U,27
HU,Melinda Timea,firstname,F,3
PL,Horutko,lastname,,21
PL,Nawaryńska,lastname,F,76
CZ,Ayoub,lastname,M,5
PL,Żymek,lastname,,22
PL,Mager,lastname,,148
